BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4239,Sins,4297.0,1139.0,116.0,169.0,26.50686525482895,116.0,169.0,4.0,http://i.imgur.com/I3auIg0.png
4177,Sisseln,1597.0,431.0,56.0,76.0,26.988102692548527,56.0,76.0,4.0,http://i.imgur.com/7RvTKOe.png
4040,Spreitenbach,12146.0,3341.0,290.0,358.0,27.506998188704102,290.0,358.0,4.0,http://i.imgur.com/rTrCwxh.png
4284,Staffelbach,1314.0,304.0,23.0,34.0,23.13546423135464,23.0,34.0,2.0,http://i.imgur.com/3J4WNhu.png
4210,Staufen,3993.0,921.0,75.0,99.0,23.065364387678436,75.0,99.0,4.0,http://i.imgur.com/GQ3xIgp.png
4260,Stein,3146.0,702.0,87.0,88.0,22.31404958677686,87.0,88.0,4.0,http://i.imgur.com/3moofQ2.png
4041,Stetten,2213.0,516.0,45.0,55.0,23.316764572977856,45.0,55.0,3.0,http://i.imgur.com/Qeadgb2.png
4285,Strengelbach,4850.0,1054.0,103.0,100.0,21.731958762886595,103.0,100.0,4.0,http://i.imgur.com/zvfHrHe.png
4012,Suhr,10512.0,2899.0,185.0,284.0,27.57800608828006,185.0,284.0,4.0,http://i.imgur.com/lcfdzfA.png
4320,Tegerfelden,1184.0,275.0,16.0,26.0,23.22635135135135,16.0,26.0,2.0,http://i.imgur.com/EVYOopQ.png
4145,Teufenthal,1669.0,342.0,43.0,44.0,20.491312162971838,43.0,44.0,3.0,http://i.imgur.com/NvOAkJh.png
4117,Thalheim,818.0,160.0,20.0,14.0,19.559902200489,20.0,14.0,2.0,http://i.imgur.com/esL6zNk.png
4042,Turgi,2966.0,796.0,93.0,85.0,26.837491571139584,93.0,85.0,4.0,http://i.imgur.com/PzCWLUz.png
4077,Tägerig,1473.0,356.0,19.0,26.0,24.1683638832315,19.0,26.0,2.0,http://i.imgur.com/zvpZnBf.png
4179,Ueken,904.0,179.0,17.0,37.0,19.800884955752213,17.0,37.0,2.0,http://i.imgur.com/BVhtXoi.png
4286,Uerkheim,1368.0,273.0,17.0,18.0,19.956140350877195,17.0,18.0,2.0,http://i.imgur.com/Bkm3C1T.png
4078,Uezwil,496.0,,,,,,,,http://i.imgur.com/guL4ZZO.png
4013,Unterentfelden,4275.0,1010.0,89.0,101.0,23.625730994152047,89.0,101.0,4.0,http://i.imgur.com/YH3LS4D.png
4146,Unterkulm,3188.0,625.0,54.0,49.0,19.60476787954831,54.0,49.0,4.0,http://i.imgur.com/BoM5cfD.png
4079,Unterlunkhofen,1499.0,316.0,31.0,41.0,21.080720480320213,31.0,41.0,3.0,http://i.imgur.com/0P2K5gE.png
4044,Untersiggenthal,7219.0,1436.0,124.0,155.0,19.89195179387727,124.0,155.0,4.0,http://i.imgur.com/jBMixKU.png
4120,Veltheim,1512.0,218.0,33.0,26.0,14.417989417989418,33.0,26.0,3.0,http://i.imgur.com/FtvKIDE.png
4121,Villigen,2147.0,339.0,27.0,34.0,15.789473684210526,27.0,34.0,2.0,http://i.imgur.com/eE28poK.png
4080,Villmergen,7597.0,1566.0,168.0,234.0,20.613400026326183,168.0,234.0,4.0,http://i.imgur.com/A2GyHF4.png
4122,Villnachern,1665.0,337.0,53.0,28.0,20.24024024024024,53.0,28.0,4.0,http://i.imgur.com/GZXQi5c.png
4287,Vordemwald,1965.0,497.0,30.0,39.0,25.29262086513995,30.0,39.0,2.0,http://i.imgur.com/vl3uVMt.png
4261,Wallbach,1983.0,413.0,49.0,33.0,20.827029752899648,49.0,33.0,3.0,http://i.imgur.com/FNtG3ZP.png
4240,Waltenschwil,2991.0,682.0,64.0,81.0,22.801738548980275,64.0,81.0,4.0,http://i.imgur.com/b4SUG3R.png
4262,Wegenstetten,1031.0,211.0,8.0,21.0,20.46556741028128,8.0,21.0,1.0,http://i.imgur.com/zXwaQpI.png
4045,Wettingen,21106.0,4876.0,401.0,498.0,23.102435326447456,401.0,498.0,4.0,http://i.imgur.com/bZt880G.png
4081,Widen,3818.0,901.0,54.0,129.0,23.59874279727606,54.0,129.0,4.0,http://i.imgur.com/vcitIcK.png
4288,Wiliberg,173.0,,,,,,,,http://i.imgur.com/5dd7Hhd.png
4123,Windisch,7668.0,1750.0,202.0,207.0,22.822117892540426,202.0,207.0,4.0,http://i.imgur.com/rEkQqqO.png
4181,Wittnau,1349.0,295.0,35.0,27.0,21.868050407709415,35.0,27.0,3.0,http://i.imgur.com/MAHyAYx.png
4082,Wohlen,16661.0,3839.0,394.0,367.0,23.041834223636037,394.0,367.0,4.0,http://i.imgur.com/toO1BXR.png
4046,Wohlenschwil,1635.0,399.0,49.0,58.0,24.403669724770644,49.0,58.0,3.0,http://i.imgur.com/o0QVJBn.png
4182,Wölflinswil,1033.0,247.0,29.0,40.0,23.910939012584706,29.0,40.0,2.0,http://i.imgur.com/vV3lkT2.png
4047,Würenlingen,4788.0,1072.0,83.0,87.0,22.389306599832913,83.0,87.0,4.0,http://i.imgur.com/MCG8Kel.png
4048,Würenlos,6482.0,1579.0,148.0,243.0,24.35976550447393,148.0,243.0,4.0,http://i.imgur.com/BeciNc5.png
4183,Zeihen,1162.0,237.0,29.0,15.0,20.395869191049915,29.0,15.0,2.0,http://i.imgur.com/DRqKcvq.png
4263,Zeiningen,2392.0,528.0,58.0,51.0,22.073578595317723,58.0,51.0,4.0,http://i.imgur.com/NDqPy8c.png
4147,Zetzwil,1344.0,289.0,17.0,24.0,21.502976190476193,17.0,24.0,2.0,http://i.imgur.com/HQ60iSU.png
4289,Zofingen,11909.0,2385.0,211.0,265.0,20.026870434125453,211.0,265.0,4.0,http://i.imgur.com/Qf7Qf0z.png
4083,Zufikon,4503.0,913.0,103.0,81.0,20.275371974239395,103.0,81.0,4.0,http://i.imgur.com/LxfskzN.png
4324,Zurzach,7552.0,1328.0,114.0,119.0,17.584745762711865,114.0,119.0,4.0,https://i.imgur.com/LNTr6vQ.png
4264,Zuzgen,868.0,161.0,10.0,34.0,18.548387096774192,10.0,34.0,1.0,http://i.imgur.com/SNdgB4O.png
