BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4117,Thalheim,818.0,224.0,16.0,13.0,27.383863080684595,16.0,13.0,2.0,http://i.imgur.com/esL6zNk.png
4042,Turgi,2966.0,1064.0,75.0,48.0,35.8732299393122,75.0,48.0,4.0,http://i.imgur.com/PzCWLUz.png
4077,Tägerig,1473.0,491.0,34.0,26.0,33.33333333333333,34.0,26.0,3.0,http://i.imgur.com/zvpZnBf.png
4179,Ueken,904.0,247.0,16.0,14.0,27.323008849557525,16.0,14.0,2.0,http://i.imgur.com/BVhtXoi.png
4286,Uerkheim,1368.0,399.0,29.0,22.0,29.166666666666668,29.0,22.0,2.0,http://i.imgur.com/Bkm3C1T.png
4078,Uezwil,496.0,,,,,,,,http://i.imgur.com/guL4ZZO.png
4013,Unterentfelden,4275.0,1440.0,119.0,106.0,33.68421052631579,119.0,106.0,4.0,http://i.imgur.com/YH3LS4D.png
4146,Unterkulm,3188.0,1018.0,109.0,120.0,31.93224592220828,109.0,120.0,4.0,http://i.imgur.com/BoM5cfD.png
4079,Unterlunkhofen,1499.0,483.0,47.0,32.0,32.22148098732489,47.0,32.0,3.0,http://i.imgur.com/0P2K5gE.png
4044,Untersiggenthal,7219.0,2069.0,160.0,142.0,28.66047929076049,160.0,142.0,4.0,http://i.imgur.com/jBMixKU.png
4120,Veltheim,1512.0,366.0,44.0,34.0,24.206349206349206,44.0,34.0,3.0,http://i.imgur.com/FtvKIDE.png
4121,Villigen,2147.0,538.0,71.0,37.0,25.05822077317187,71.0,37.0,4.0,http://i.imgur.com/eE28poK.png
4080,Villmergen,7597.0,2297.0,213.0,161.0,30.23561932341714,213.0,161.0,4.0,http://i.imgur.com/A2GyHF4.png
4122,Villnachern,1665.0,507.0,27.0,39.0,30.45045045045045,27.0,39.0,2.0,http://i.imgur.com/GZXQi5c.png
4287,Vordemwald,1965.0,683.0,52.0,25.0,34.75826972010178,52.0,25.0,4.0,http://i.imgur.com/vl3uVMt.png
