BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,kategorie_sieben_tage,Wappen
4179,Ueken,904.0,67.0,4.0,4,7.411504424778761,1.0,http://i.imgur.com/BVhtXoi.png
4286,Uerkheim,1368.0,169.0,15.0,7,12.353801169590643,2.0,http://i.imgur.com/Bkm3C1T.png
4078,Uezwil,496.0,,,,,,http://i.imgur.com/guL4ZZO.png
4013,Unterentfelden,4275.0,585.0,30.0,23,13.684210526315791,2.0,http://i.imgur.com/YH3LS4D.png
4146,Unterkulm,3188.0,353.0,21.0,26,11.072772898368884,2.0,http://i.imgur.com/BoM5cfD.png
4079,Unterlunkhofen,1499.0,152.0,22.0,11,10.140093395597065,2.0,http://i.imgur.com/0P2K5gE.png
4044,Untersiggenthal,7219.0,856.0,45.0,38,11.857598005263887,3.0,http://i.imgur.com/jBMixKU.png
4120,Veltheim,1512.0,121.0,6.0,0-3,8.002645502645503,1.0,http://i.imgur.com/FtvKIDE.png
4121,Villigen,2147.0,222.0,11.0,0-3,10.340009315323707,2.0,http://i.imgur.com/eE28poK.png
4080,Villmergen,7597.0,772.0,58.0,29,10.161906015532447,4.0,http://i.imgur.com/A2GyHF4.png
4122,Villnachern,1665.0,188.0,15.0,20,11.29129129129129,2.0,http://i.imgur.com/GZXQi5c.png
4287,Vordemwald,1965.0,332.0,22.0,12,16.895674300254456,2.0,http://i.imgur.com/vl3uVMt.png
4261,Wallbach,1983.0,207.0,14.0,13,10.43872919818457,2.0,http://i.imgur.com/FNtG3ZP.png
4240,Waltenschwil,2991.0,388.0,29.0,21,12.972250083584086,2.0,http://i.imgur.com/b4SUG3R.png
4262,Wegenstetten,1031.0,138.0,2.0,12,13.38506304558681,0.0,http://i.imgur.com/zXwaQpI.png
4045,Wettingen,21106.0,2901.0,159.0,136,13.74490666161281,4.0,http://i.imgur.com/bZt880G.png
4081,Widen,3818.0,494.0,34.0,24,12.938711367207961,3.0,http://i.imgur.com/vcitIcK.png
4288,Wiliberg,173.0,,,,,,http://i.imgur.com/5dd7Hhd.png
4123,Windisch,7668.0,957.0,44.0,39,12.480438184663537,3.0,http://i.imgur.com/rEkQqqO.png
4322,Wislikofen,357.0,,,,,,http://i.imgur.com/aTJL5Ed.png
4181,Wittnau,1349.0,162.0,5.0,5,12.008895478131949,1.0,http://i.imgur.com/MAHyAYx.png
4082,Wohlen,16661.0,2184.0,105.0,73,13.108456875337616,4.0,http://i.imgur.com/toO1BXR.png
4046,Wohlenschwil,1635.0,200.0,6.0,8,12.232415902140673,1.0,http://i.imgur.com/o0QVJBn.png
4182,Wölflinswil,1033.0,136.0,7.0,4,13.165537270087125,1.0,http://i.imgur.com/vV3lkT2.png
4047,Würenlingen,4788.0,704.0,29.0,24,14.703425229741018,2.0,http://i.imgur.com/MCG8Kel.png
4048,Würenlos,6482.0,817.0,52.0,32,12.604134526380747,4.0,http://i.imgur.com/BeciNc5.png
4183,Zeihen,1162.0,132.0,7.0,6,11.359724612736661,1.0,http://i.imgur.com/DRqKcvq.png
4263,Zeiningen,2392.0,269.0,25.0,10,11.24581939799331,2.0,http://i.imgur.com/NDqPy8c.png
4147,Zetzwil,1344.0,196.0,10.0,12,14.583333333333334,1.0,http://i.imgur.com/HQ60iSU.png
4289,Zofingen,11909.0,1405.0,94.0,53,11.797799983205978,4.0,http://i.imgur.com/Qf7Qf0z.png
4083,Zufikon,4503.0,518.0,44.0,25,11.503442149677992,3.0,http://i.imgur.com/LxfskzN.png
4264,Zuzgen,868.0,79.0,7.0,6,9.101382488479262,1.0,http://i.imgur.com/SNdgB4O.png
